sampleNum,Bus.lax,Bus.lay,Bus.laz,Bus.rx,Bus.ry,Bus.rz,Node01.lax,Node01.lay,Node01.laz,Node01.rx,Node01.ry,Node01.rz,Node02.lax,Node02.lay,Node02.laz,Node02.rx,Node02.ry,Node02.rz,Node03.lax,Node03.lay,Node03.laz,Node03.rx,Node03.ry,Node03.rz,Node04.lax,Node04.lay,Node04.laz,Node04.rx,Node04.ry,Node04.rz,Node05.lax,Node05.lay,Node05.laz,Node05.rx,Node05.ry,Node05.rz
1,0.0,0.0,0.0,0.0,0.0,0.0,-0.05174271,-0.03494963,-0.02341562,2.25646877,0.50559974,1.54610109,-0.00017314,-0.00035815,-0.00011159,-2.91752577,-0.34499857,-3.03951931,-0.08225692,-0.07248636,0.10576896,-1.90221477,-0.10815044,1.74856079,0.00027708,-5.644e-05,-0.00019449,2.81949019,-0.49059197,-2.96635532,0.00020368,-6.282e-05,0.00062117,1.19024456,-1.36356699,2.0816443
2,0.0,0.0,0.0,0.0,0.0,0.0,-0.06152573,-0.02986535,-0.00064106,2.2590065,0.50336099,1.54875207,0.00030897,0.00029469,-0.00024653,-2.91752148,-0.34500381,-3.0395205,-0.09341744,-0.0533613,0.07360098,-1.90352809,-0.08691871,1.74613011,-0.00030363,-9.942e-05,-7.812e-05,2.81948638,-0.4905763,-2.96636057,0.0002026,-0.0002125,0.00084792,1.1902771,-1.36357641,2.0816164
3,0.0,0.0,0.0,0.0,0.0,0.0,-0.06513898,-0.0341586,0.02551318,2.26109576,0.50067776,1.55150163,0.00012943,-1.108e-05,0.00030257,-2.91751075,-0.34501243,-3.03950977,-0.09630858,-0.0246687,0.03269541,-1.90510547,-0.06462154,1.74362838,-0.00020928,4.261e-05,0.00012377,2.81949568,-0.49058402,-2.96636915,0.00035944,0.00014706,0.00060912,1.19034302,-1.36359227,2.08155346
4,0.0,0.0,0.0,0.0,0.0,0.0,-0.06349174,-0.04114502,0.04130852,2.26207542,0.49817207,1.55414379,-4.749e-05,-2.903e-05,0.00036139,-2.91750741,-0.34500727,-3.03950858,-0.09778746,0.00217779,0.00094608,-1.9071821,-0.04133457,1.74091268,5.934e-05,2.903e-05,0.00018093,2.81950808,-0.49057177,-2.96638584,0.00045081,-0.00043887,0.00052488,1.19033682,-1.36358786,2.08155441
5,0.0,0.0,0.0,0.0,0.0,0.0,-0.06683854,-0.04448192,0.04142124,2.26101518,0.49668577,1.55688941,-0.00023523,-0.0005933,-0.00025219,-2.91752291,-0.34500873,-3.03948426,-0.09903315,0.03464272,-0.0337746,-1.90948725,-0.01716122,1.73797655,-0.0002234,0.00016003,-0.00029378,2.81951237,-0.49057427,-2.9663837,0.00057906,-4.493e-05,0.00047635,1.19022107,-1.36358869,2.0816772
6,0.0,0.0,0.0,0.0,0.0,0.0,-0.07738554,-0.04912823,0.02631943,2.25949264,0.49590722,1.56053877,0.00031229,-0.00072205,-0.00038976,-2.91753387,-0.34500596,-3.03947186,-0.10239071,0.04525246,-0.06177291,-1.91170323,0.00780903,1.73475349,0.00015182,-0.00063766,-0.0002829,2.81951046,-0.49058226,-2.96639276,5.096e-05,-0.00030501,0.00045381,1.19023371,-1.36357427,2.08165884
7,0.0,0.0,0.0,0.0,0.0,0.0,-0.09244448,-0.05716357,0.00335266,2.25739002,0.49568787,1.56495106,-0.0001879,-2.548e-05,-0.00040753,-2.91754913,-0.34500676,-3.03944802,-0.10708947,0.03494806,-0.09425949,-1.91373539,0.03325786,1.73129511,-0.00020349,-2.205e-05,-0.00034091,2.81950784,-0.49056453,-2.96639776,0.00055573,0.00014032,0.00041168,1.1902318,-1.36356139,2.08166528
8,0.0,0.0,0.0,0.0,0.0,0.0,-0.10576737,-0.07162617,-0.01966331,2.25378156,0.49593291,1.56927264,0.00012134,0.00060835,-0.00046771,-2.91755652,-0.34500164,-3.03944683,-0.1066005,0.04871643,-0.13940471,-1.91587639,0.05933475,1.72749364,3.642e-05,0.00070273,-6.068e-05,2.81951118,-0.49056908,-2.96639562,0.0001713,0.00012332,0.00057533,1.19025362,-1.36357081,2.08163762
9,0.0,0.0,0.0,0.0,0.0,0.0,-0.11151709,-0.08811224,-0.03809832,2.25096583,0.49557334,1.5735904,-0.00035949,-4.53e-05,-0.00032747,-2.91756439,-0.34499958,-3.0394454,-0.11278511,0.06092529,-0.16058981,-1.91799629,0.08554787,1.72351432,-0.00012724,0.00030076,-6.875e-05,2.81950092,-0.49055988,-2.96638465,-0.0002243,0.00010554,0.00073107,1.1902442,-1.36356902,2.08165264
10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1114962,-0.10622933,-0.05241302,2.24668694,0.49550804,1.57673347,-0.00030096,3.52e-06,-0.00014199,-2.91757274,-0.34498405,-3.03944159,-0.1122096,0.0706981,-0.19267219,-1.92010868,0.11166855,1.71931493,-0.00043095,-0.00012692,1.206e-05,2.81949019,-0.49055767,-2.96639776,-3.079e-05,0.00039546,9.494e-05,1.19026709,-1.3635546,2.08163476
